"Name","Sector","Industry","Full.Time.Employees","Total.ESG.Risk.score","Environment.Risk.Score","Governance.Risk.Score","Social.Risk.Score","Controversy.Level","Controversy.Score","ESG.Risk.Percentile","ESG.Risk.Level"
"Agilent Technologies Inc","Healthcare","Diagnostics & Research",18000,15,0.3,6.3,8.6,"Low",1,11,"Severe"
"American Airlines Group Inc","Industrials","Airlines",132500,29,12,5,12,"Significant",3,62,"Low"
"Advance Auto Parts Inc","Consumer Cyclical","Specialty Retail",40000,12,0,3,8,"Low",1,4,"Severe"
"Apple Inc","Technology","Consumer Electronics",164000,17,0.6,9.2,6.9,"Moderate",2,15,"Severe"
"Abbvie Inc","Healthcare","Drug Manufacturers—General",50000,28,1.1,9.9,16.8,"Significant",3,55,"Low"
"Amerisourcebergen Corp","Healthcare","Medical Distribution",46000,12,1.3,5.2,5.6,"Low",1,5,"Severe"
"Abbott Laboratories","Healthcare","Medical Devices",115000,25,3,8.4,13.6,"Significant",3,44,"Low"
"Arch Capital Group Ltd","Financial Services","Insurance—Diversified",5800,21,1,12,7,"Moderate",2,28,"Low"
"Accenture Plc Cl A","Technology","Information Technology Services",732000,10,0.3,4.8,4.6,"Low",1,2,"Severe"
"Adobe Inc","Technology","Software—Infrastructure",29239,12,1.9,4.6,5.9,"Low",1,5,"Severe"
"Analog Devices Inc","Technology","Semiconductors",24450,24,10.1,5.9,7.7,"Significant",3,39,"Low"
"Archer Daniels Midland Co","Consumer Defensive","Farm Products",40360,36,18,5,13,"High",4,83,"Medium"
"Automatic Data Processing","Industrials","Staffing & Employment Services",63000,14,1.1,5.9,7,"Low",1,8,"Severe"
"Autodesk Inc","Technology","Software—Application",13700,16,3,4,8,"Moderate",2,13,"Severe"
"Ameren Corporation","Utilities","Utilities—Regulated Electric",9244,30,14.1,5.5,9.9,"Significant",3,63,"Low"
"American Electric Power","Utilities","Utilities—Regulated Electric",16974,26,13,5,8,"Significant",3,47,"Low"
"Aes Corp","Utilities","Utilities—Diversified",9100,34,16.5,6.5,11.2,"High",4,78,"Medium"
"Aflac Inc","Financial Services","Insurance—Life",12882,17,0,10,7,"Moderate",2,17,"Severe"
"American International Group","Financial Services","Insurance—Diversified",26200,25,2,14,10,"Significant",3,45,"Low"
"Assurant Inc","Financial Services","Insurance—Specialty",13700,24,2,11,12,"Significant",3,43,"Low"
"Arthur J Gallagher & Co","Financial Services","Insurance Brokers",45641,21,0.1,10.5,10.7,"Moderate",2,30,"Low"
"Akamai Technologies Inc","Technology","Software—Infrastructure",9800,17,2.9,6.7,6.9,"Moderate",2,14,"Severe"
"Albemarle Corp","Basic Materials","Specialty Chemicals",7400,29,16,8,6,"Significant",3,60,"Low"
"Align Technology Inc","Healthcare","Medical Devices",22910,10.58,1.8,6.8,2,"Low",1,2.09,"Severe"
"Alaska Air Group Inc","Industrials","Airlines",23140,19.01,6.93,5,7,"Moderate",2,44.63,"Low"
"Allstate Corp","Financial Services","Insurance—Property & Casualty",54000,19,1,10,8,"Moderate",2,23,"Severe"
"Allegion Plc","Industrials","Security & Protection Services",12300,24,13,6,5,"Significant",3,40,"Low"
"Applied Materials Inc","Technology","Semiconductor Equipment & Materials",33000,12,3.8,5.1,2.6,"Low",1,4,"Severe"
"Amcor Plc","Consumer Cyclical","Packaging & Containers",41000,13.9,5.02,4.5,4.3,"Low",1,15.81,"Severe"
